temp growth bacteria
55 0.97 2
47 1.31 4
26 -0.41 1
6 0.78 4
6 0.31 2
28 -0.22 3
20 -0.17 2
58 0.60 4
48 1.36 4
18 1.21 5
48 1.13 1
44 0.51 2
24 1.30 3
23 0.00 1
12 0.73 2
48 0.84 2
23 -0.34 3
7 0.42 4
60 0.52 3
48 0.96 3
12 1.31 3
55 -0.50 2
12 0.33 3
13 0.63 5
39 -0.15 2
9 -0.48 2
37 0.57 4
20 -0.35 2
49 0.73 1
24 -0.41 5
10 0.76 5
19 0.85 3
25 0.85 1
14 0.84 3
63 0.61 4
28 1.09 4
37 0.53 1
54 1.18 1
31 1.22 3
51 0.76 1
35 -0.11 2
46 0.75 1
41 -0.18 3
46 0.29 5
58 1.43 1
9 0.74 4
52 1.15 3
29 0.09 1
56 1.16 1
